ds,yhat,yhat_lower,yhat_upper
2023-10-29,32.0503850735578,25.045874636605735,39.41815951075337
2023-10-30,32.0314137129386,25.228255940413945,38.51683031343196
2023-10-31,32.89061952458868,26.203794421619033,39.9430497567524
2023-11-01,32.625274382732144,26.118776398368272,39.82732354969553
2023-11-02,32.70299252380819,25.86163587662572,39.88976698182337
2023-11-03,32.0954616313886,25.289988867188523,39.168760101082746
2023-11-04,33.062380089984536,26.015671174291423,39.74343184606143
2023-11-05,32.05877140120914,25.25207296953242,39.04813705728051
2023-11-06,32.03980004058716,24.933392885915946,38.83236832203587
2023-11-07,32.899005852235945,25.825570860767524,39.926213550061945
2023-11-08,32.63366071037938,25.633049844319746,39.53190980160437
2023-11-09,32.71137885145507,25.57969768284426,39.32299683181009
2023-11-10,32.10384795903526,24.98895048388852,38.99918321332182
2023-11-11,33.07076641763186,26.00273787984962,39.58967096038852
2023-11-12,32.06715772885299,24.935897066674876,39.17916368415081
2023-11-13,32.048186368230326,24.783015097557744,39.40203462496672
2023-11-14,32.907392179883225,25.90228943866766,39.65215651466337
2023-11-15,32.64204703802657,25.832114983619988,39.50263502202598
2023-11-16,31.51393197910114,24.370061304146617,38.033386009991865
2023-11-17,29.540803086681414,22.672930440215158,36.89402963689695
2023-11-18,25.683504745277595,19.19819345529157,32.1046305820451
2023-11-19,32.07554405649684,25.78629717569923,39.117264604791394
2023-11-20,32.05657263102393,25.197664409357834,39.40248553033124
2023-11-21,32.915778377823834,25.921779729448964,40.09987577742314
2023-11-22,32.650433171112034,25.754247944385476,39.329114389449025
2023-11-23,32.72815124733317,26.053070641105293,39.76195887960042
2023-11-24,32.1206202900619,26.022105299924892,39.21142859165723
2023-11-25,33.08753868380334,26.0837801861923,40.31106643221392
2023-11-26,32.083929930172125,24.93236905635258,38.79055225891657
2023-11-27,32.06495850469648,25.078556315263082,39.054810382323296
2023-11-28,32.924164251495306,25.12157213767352,39.98249257120079
2023-11-29,32.658819044784195,25.513611720123837,40.193579542469735
2023-11-30,32.73653712100521,25.478568467880454,39.505155577829434
2023-12-01,32.12900616373278,24.742174163865545,38.60210425692423
2023-12-02,33.09592455747466,25.96917269197588,39.54562757596743
2023-12-03,32.092315803842666,25.162788927727657,39.62323928110265
2023-12-04,32.073344378371715,24.596455582447486,38.896750596778496
2023-12-05,32.93255012517174,25.802211290016178,39.34836797124391
2023-12-06,32.667204918458054,25.912620620189752,40.095579107546264
2023-12-07,32.74492299467868,25.827453877938485,39.29454560013475
2023-12-08,32.137392037406116,24.786911419524394,38.847807522378666
2023-12-09,33.104310431148654,26.529805469527165,39.449171900024254
2023-12-10,32.100701677515566,25.261490418331356,39.172596147084235
2023-12-11,32.08173025204696,25.021698204978893,38.96485398080868
2023-12-12,32.940935998840324,26.263862658688215,40.07785604219297
2023-12-13,32.67559041719097,25.96104051142518,39.208360327988366
2023-12-14,32.75330811847225,25.475172934248715,39.20466020932628
2023-12-15,32.14577678626126,25.3479549647765,38.87874345534357
2023-12-16,33.11269480506414,26.18114101920433,39.96421845674885
2023-12-17,32.10908567649505,25.66110811062674,39.60154999347941
2023-12-18,32.0901138760814,25.464879786685962,39.010538322630815
2023-12-19,32.94931924794212,25.672824301545084,39.49998054867945
2023-12-20,32.683973666290264,26.232005988768655,39.559210039965336
